Fila;Código;LATITUD;LONGITUD
369;874;2,8499844;-75,3367476
370;884;;
371;970;;
372;594;;
373;1110;;
374;1345;;
375;1371;;
376;1786;;
377;382;;
378;467;;
379;680;;
380;691;;
381;754;;
382;1209;;
383;1419;;
384;1487;;
385;1531;;
386;1763;;
387;348;2,9355943;-75,2598421
388;384;;
389;4682;;
390;306;2,9462748;-75,2902278
391;070;;
392;1193;;
393;121;;
394;1224;;
395;1625;;
396;1685;;
397;1722;;
398;1766;;
399;289;;
400;296;;
401;490;;
402;611;2,8912241;-75,2533065
403;623;;
404;654;;
405;692;;
406;745;;
407;759;;
408;772;;
409;814;;
410;834;;
411;864;;
412;873;;
413;4972;;
414;303;2,9542783;-75,290719
415;387;2,9623221;-75,2894335
416;602;;
417;615;;
418;866;;
419;871;;
420;1360;;
421;869;;
422;878;;
423;020;2,9345016;-75,2905192
424;1511;;
425;1690;;
426;1727;;
427;309;;
428;410;;
429;702;2,9356578;-75,2600749
430;703;;
431;726;2,9632669;-75,2764694
432;879;;
433;109;2,9331229;-75,300076
434;1267;;
435;1667;;
436;185;;
437;486;;
438;609;;
439;827;;
440;828;;
441;030;;
442;1005;;
443;1669;;
444;266;;
445;4552;;
446;1358;;
447;100;;
448;1073;;
449;1308;2,9524302;-75,2910136
450;1721;;
451;713;2,9127225;-75,2809065
452;733;2,9266115;-75,2873835
453;933;;
454;947;;
455;078;2,9303072;-75,2502226
456;106;;
457;1382;;
458;1772;2,9332991;-75,2500989
459;495;;
460;621;;
461;622;;
462;1756;;
463;136;2,9734214;-75,2951966
464;496;2,9578662;-75,278233
465;562;;
466;564;;
467;569;2,9167229;-75,274272
468;662;;
469;736;;
470;802;;
471;221;2,9423826;-75,2495733
472;872;;
473;1541;;
474;1794;;
475;223;2,9463238;-75,2860131
476;339;2,8574438;-75,3383057
477;345;;
478;511;3,0365539;-75,2519428
479;1242;;
480;1549;;
481;262;;
482;288;;
483;539;2,9335174;-75,3000548
484;554;;
485;853;;
486;763;;
487;1010;;
488;1781 ;;
489;215;;
490;228;2,9339284;-75,3006786
491;868;;
492;847;;
493;1003;;
494;105;;
495;1112;;
496;137;;
497;552;;
498;592;;
499;607;;
500;690;;
501;798;;
502;4597;;
503;465;2,8932844;-75,269764
504;625;;
505;880;;
506;1285;;
507;1326;;
508;1383;;
509;1728;;
510;282;2,9655791;-75,2983588
511;362;2,9453573;-75,2913757
512;672;;
513;706;;
514;716;2,9648658;-75,2902804
515;809;;
516;647;;
517;792;;
518;1340;;
519;1359;;
520;1364;;
521;360;;
522;489;;
523;601;2,8422737;-75,2865313
524;674;;
525;953;;
526;1413;;
527;856;;
528;1268;;
529;1451;;
530;1730;;
531;325;;
532;343;2,9581163;-75,2812622
533;606;;
534;609;;
535;727;;
536;851;;
537;939;;
538;671;;
539;118;;
540;1369;;
541;514;;
542;5224;;
543;5342;;
544;916;2,9581752;-75,2872976
545;920;;
546;991;;
547;449;;
548;1368;;
549;738;;
550;849;;
551;1198;;
552;788;;
553;016;;
554;1187;;
555;541;;
556;1744;;
557;464;;
558;642;;
559;837;;
560;844;;
561;588;;
562;779;;
563;823;;
564;1036;;
565;1090;;
566;739;;
567;723;;
568;1644;;
569;693;;
570;783;;
571;143;;
572;1231;;
573;1464;;
574;1646;;
575;1647;;
576;167;2,9552503;-75,2734447
577;517;;
578;720;;
579;754;;
580;017;2,9323636;-75,2499523
581;042;;
582;548;;
